Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Abra,Psychic,310,215,95,25,20,15,105,55,90,1,False
Kadabra,Psychic,400,260,140,40,35,30,120,70,105,1,False
Alakazam,Psychic,500,305,195,55,50,45,135,95,120,1,False
AlakazamMega Alakazam,Psychic,590,375,215,55,50,65,175,95,150,1,False
Drowzee,Psychic,328,133,195,60,48,45,43,90,42,1,False
Hypno,Psychic,483,213,270,85,73,70,73,115,67,1,False
Mr. Mime,Psychic,460,235,225,40,45,65,100,120,90,1,False
Mewtwo,Psychic,680,394,286,106,110,90,154,90,130,1,True
MewtwoMega Mewtwo X,Psychic,780,474,306,106,190,100,154,100,130,1,True
MewtwoMega Mewtwo Y,Psychic,780,484,296,106,150,70,194,120,140,1,True
Mew,Psychic,600,300,300,100,100,100,100,100,100,1,False
Natu,Psychic,320,190,130,40,50,45,70,45,70,2,False
Xatu,Psychic,470,265,205,65,75,70,95,70,95,2,False
Espeon,Psychic,525,305,220,65,65,60,130,95,110,2,False
Unown,Psychic,336,192,144,48,72,48,72,48,48,2,False
Wobbuffet,Psychic,405,99,306,190,33,58,33,58,33,2,False
Lugia,Psychic,680,290,390,106,90,130,90,154,110,2,True
Celebi,Psychic,600,300,300,100,100,100,100,100,100,2,False
Ralts,Psychic,198,110,88,28,25,25,45,35,40,3,False
Kirlia,Psychic,278,150,128,38,35,35,65,55,50,3,False
Gardevoir,Psychic,518,270,248,68,65,65,125,115,80,3,False
GardevoirMega Gardevoir,Psychic,618,350,268,68,85,65,165,135,100,3,False
Spoink,Psychic,330,155,175,60,25,35,70,80,60,3,False
Grumpig,Psychic,470,215,255,80,45,65,90,110,80,3,False
Chimecho,Psychic,425,210,215,65,50,70,95,80,65,3,False
Wynaut,Psychic,260,69,191,95,23,48,23,48,23,3,False
DeoxysNormal Forme,Psychic,600,450,150,50,150,50,150,50,150,3,True
DeoxysAttack Forme,Psychic,600,510,90,50,180,20,180,20,150,3,True
DeoxysDefense Forme,Psychic,600,230,370,50,70,160,70,160,90,3,True
DeoxysSpeed Forme,Psychic,600,370,230,50,95,90,95,90,180,3,True
Chingling,Psychic,285,140,145,45,30,50,65,50,45,4,False
Mime Jr.,Psychic,310,155,155,20,25,45,70,90,60,4,False
Gallade,Psychic,518,270,248,68,125,65,65,115,80,4,False
GalladeMega Gallade,Psychic,618,340,278,68,165,95,65,115,110,4,False
Uxie,Psychic,580,245,335,75,75,130,75,130,95,4,True
Mesprit,Psychic,580,290,290,80,105,105,105,105,80,4,True
Azelf,Psychic,580,365,215,75,125,70,125,70,115,4,True
Cresselia,Psychic,600,230,370,120,70,120,75,130,85,4,False
Victini,Psychic,600,300,300,100,100,100,100,100,100,5,True
Munna,Psychic,292,116,176,76,25,45,67,55,24,5,False
Musharna,Psychic,487,191,296,116,55,85,107,95,29,5,False
Woobat,Psychic,313,172,141,55,45,43,55,43,72,5,False
Swoobat,Psychic,425,248,177,67,57,55,77,55,114,5,False
Sigilyph,Psychic,490,258,232,72,58,80,103,80,97,5,False
Gothita,Psychic,290,130,160,45,30,50,55,65,45,5,False
Gothorita,Psychic,390,175,215,60,45,70,75,85,55,5,False
Gothitelle,Psychic,490,215,275,70,55,95,95,110,65,5,False
Solosis,Psychic,290,155,135,45,30,40,105,50,20,5,False
Duosion,Psychic,370,195,175,65,40,50,125,60,30,5,False
Reuniclus,Psychic,490,220,270,110,65,75,125,85,30,5,False
Elgyem,Psychic,335,170,165,55,55,55,85,55,30,5,False
Beheeyem,Psychic,485,240,245,75,75,75,125,95,40,5,False
Espurr,Psychic,355,179,176,62,48,54,63,60,68,6,False
MeowsticMale,Psychic,466,235,231,74,48,76,83,81,104,6,False
MeowsticFemale,Psychic,466,235,231,74,48,76,83,81,104,6,False
HoopaHoopa Confined,Psychic,600,330,270,80,110,60,150,130,70,6,True
HoopaHoopa Unbound,Psychic,680,410,270,80,160,60,170,130,80,6,True
Slowpoke,Psychic,315,120,195,90,65,65,40,40,15,1,False
Slowbro,Psychic,490,205,285,95,75,110,100,80,30,1,False
SlowbroMega Slowbro,Psychic,590,235,355,95,75,180,130,80,30,1,False
Exeggcute,Psychic,325,140,185,60,40,80,60,45,40,1,False
Exeggutor,Psychic,520,275,245,95,95,85,125,65,55,1,False
Starmie,Psychic,520,290,230,60,75,85,100,85,115,1,False
Jynx,Psychic,455,260,195,65,50,35,115,95,95,1,False
Slowking,Psychic,490,205,285,95,75,80,100,110,30,2,False
Girafarig,Psychic,455,255,200,70,80,65,90,65,85,2,False
Smoochum,Psychic,305,180,125,45,30,15,85,65,65,2,False
Meditite,Psychic,280,140,140,30,40,55,40,55,60,3,False
Medicham,Psychic,410,200,210,60,60,75,60,75,80,3,False
MedichamMega Medicham,Psychic,510,280,230,60,100,85,80,85,100,3,False
Lunatone,Psychic,440,220,220,70,55,65,95,85,70,3,False
Solrock,Psychic,440,220,220,70,95,85,55,65,70,3,False
Baltoy,Psychic,300,135,165,40,40,55,40,70,55,3,False
Claydol,Psychic,500,215,285,60,70,105,70,120,75,3,False
Beldum,Psychic,300,120,180,40,55,80,35,60,30,3,False
Metang,Psychic,420,180,240,60,75,100,55,80,50,3,False
Metagross,Psychic,600,300,300,80,135,130,95,90,70,3,False
MetagrossMega Metagross,Psychic,700,360,340,80,145,150,105,110,110,3,False
Latias,Psychic,600,300,300,80,80,90,110,130,110,3,True
LatiasMega Latias,Psychic,700,350,350,80,100,120,140,150,110,3,True
Latios,Psychic,600,330,270,80,90,80,130,110,110,3,True
LatiosMega Latios,Psychic,700,400,300,80,130,100,160,120,110,3,True
Jirachi,Psychic,600,300,300,100,100,100,100,100,100,3,True
Bronzor,Psychic,300,71,229,57,24,86,24,86,23,4,False
Bronzong,Psychic,500,201,299,67,89,116,79,116,33,4,False
DarmanitanZen Mode,Psychic,540,225,315,105,30,105,140,105,55,5,False
MeloettaAria Forme,Psychic,600,295,305,100,77,77,128,128,90,5,False
Delphox,Psychic,534,287,247,75,69,72,114,100,104,6,False
Inkay,Psychic,288,136,152,53,54,53,37,46,45,6,False
Malamar,Psychic,482,233,249,86,92,88,68,75,73,6,False
